DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200112,2020.0313,-28.1,26.2,-1.3,rrr,2.3,2.6,7.5,0.0186,Southern_California.20200112.stacov.point-2020/05/11-22:28:16 
20200113,2020.034,-27.2,25.9,1.5,rrr,2.3,2.6,7.7,-0.0039,Southern_California.20200113.stacov.point-2020/05/12-22:27:09 
20200114,2020.0368,-27.3,25.3,-2.4,rrr,2.3,2.6,7.5,0.0322,Southern_California.20200114.stacov.point-2020/05/13-22:27:06 
20200115,2020.0395,-26.7,24.7,-3.6,rrr,2.3,2.6,7.5,0.0224,Southern_California.20200115.stacov.point-2020/05/14-22:28:06 
20200116,2020.0422,-26.7,25.7,-3.0,rrr,2.3,2.7,7.5,0.0398,Southern_California.20200116.stacov.point-2020/05/15-22:28:15 
20200117,2020.045,-27.1,26.3,2.8,rrr,2.4,2.8,7.8,0.066,Southern_California.20200117.stacov.point-2020/05/16-22:25:46 
20200118,2020.0477,-26.6,26.0,-0.2,rrr,2.3,2.7,7.7,0.0064,Southern_California.20200118.stacov.point-2020/05/17-22:28:42 
20200119,2020.0505,-25.5,27.5,-2.5,rrr,2.3,2.6,7.5,0.0283,Southern_California.20200119.stacov.point-2020/05/18-22:27:35 
20200120,2020.0532,-25.0,26.3,2.6,rrr,2.3,2.7,7.7,0.0105,Southern_California.20200120.stacov.point-2020/05/19-22:28:37 
20200121,2020.0559,-26.1,26.3,0.4,rrr,2.3,2.6,7.7,-0.003,Southern_California.20200121.stacov.point-2020/05/20-22:28:18 
20200122,2020.0587,-26.3,26.1,0.3,rrr,2.3,2.6,7.7,0.0049,Southern_California.20200122.stacov.point-2020/05/21-22:28:29 
20200123,2020.0614,-26.3,27.0,-3.7,rrr,2.3,2.6,7.7,-0.0015,Southern_California.20200123.stacov.point-2020/05/22-22:27:35 
20200124,2020.0641,-25.6,25.3,-1.5,rrr,2.3,2.6,7.5,0.0184,Southern_California.20200124.stacov.point-2020/05/23-22:28:43 
20200125,2020.0669,-26.7,25.6,0.6,rrr,2.3,2.6,7.5,0.0275,Southern_California.20200125.stacov.point-2020/05/24-22:27:34 
20200126,2020.0696,-24.8,24.8,1.8,rrr,2.3,2.6,7.7,0.0011,Southern_California.20200126.stacov.point-2020/05/25-22:29:41 
20200127,2020.0724,-25.5,24.1,-2.3,rrr,2.2,2.7,7.4,0.0311,Southern_California.20200127.stacov.point-2020/05/26-22:28:26 
20200128,2020.0751,-24.3,25.0,-1.9,rrr,2.2,2.6,7.4,0.043,Southern_California.20200128.stacov.point-2020/05/27-22:26:54 
20200129,2020.0778,-24.6,23.4,-3.3,rrr,2.3,2.6,7.7,0.006,Southern_California.20200129.stacov.point-2020/05/28-22:28:35 
20200130,2020.0806,-25.6,25.1,3.3,rrr,2.3,2.6,7.7,0.0054,Southern_California.20200130.stacov.point-2020/05/29-22:28:32 
20200131,2020.0833,-23.5,26.3,-2.2,rrr,2.3,2.6,7.7,0.005,Southern_California.20200131.stacov.point-2020/05/30-22:28:43 
20200201,2020.0861,-25.3,26.7,-2.8,rrr,2.2,2.7,7.4,0.0376,Southern_California.20200201.stacov.point-2020/05/31-22:29:26 
20200202,2020.0888,-24.8,25.6,0.8,rrr,2.2,2.7,7.4,0.0376,Southern_California.20200202.stacov.point-2020/06/01-22:29:03 
20200203,2020.0915,-24.2,24.1,6.0,rrr,2.3,2.7,7.7,-0.0035,Southern_California.20200203.stacov.point-2020/06/02-22:28:02 
20200204,2020.0943,-25.6,22.4,1.7,rrr,2.2,2.6,7.4,0.0323,Southern_California.20200204.stacov.point-2020/06/03-22:27:52 
20200205,2020.097,-25.7,23.5,2.1,rrr,2.2,2.6,7.4,0.0393,Southern_California.20200205.stacov.point-2020/06/04-22:28:50 
20200206,2020.0997,-24.6,23.7,2.6,rrr,2.2,2.6,7.4,0.0383,Southern_California.20200206.stacov.point-2020/06/05-22:30:52 
20200207,2020.1025,-23.4,24.0,-3.6,rrr,2.3,2.6,7.5,0.0258,Southern_California.20200207.stacov.point-2020/06/06-22:27:54 
20200208,2020.1052,-23.7,23.5,-3.6,rrr,2.2,2.5,7.3,-0.0158,Southern_California.20200208.stacov.point-2020/06/07-22:29:58 
20200209,2020.108,-23.0,24.3,4.1,rrr,2.3,2.7,7.5,0.0221,Southern_California.20200209.stacov.point-2020/06/08-22:27:53 
20200210,2020.1107,-23.6,23.3,1.5,rrr,2.3,2.7,7.7,0.0017,Southern_California.20200210.stacov.point-2020/06/09-22:27:56 
20200211,2020.1134,-24.2,23.1,3.9,rrr,2.2,2.6,7.4,0.0364,Southern_California.20200211.stacov.point-2020/06/10-22:30:03 
20200212,2020.1162,-22.5,23.3,-3.8,rrr,2.2,2.6,7.4,0.0322,Southern_California.20200212.stacov.point-2020/06/11-22:28:53 
20200213,2020.1189,-22.4,23.7,-6.5,rrr,2.3,2.7,7.7,-0.0003,Southern_California.20200213.stacov.point-2020/06/12-22:27:44 
20200214,2020.1216,-23.9,24.6,-4.8,rrr,2.3,2.7,7.7,-0.013,Southern_California.20200214.stacov.point-2020/06/13-22:28:52 
20200215,2020.1244,-23.2,23.9,-3.7,rrr,2.3,2.7,7.5,0.0111,Southern_California.20200215.stacov.point-2020/06/14-22:29:17 
20200216,2020.1271,-23.1,23.3,-2.2,rrr,2.2,2.7,7.4,0.0273,Southern_California.20200216.stacov.point-2020/06/15-22:27:40 
20200217,2020.1299,-24.4,22.0,-0.7,rrr,2.3,2.6,7.5,0.0228,Southern_California.20200217.stacov.point-2020/06/16-22:29:14 
20200218,2020.1326,-22.3,24.4,-1.7,rrr,2.3,2.7,7.7,-0.0035,Southern_California.20200218.stacov.point-2020/06/17-22:29:20 
20200219,2020.1353,-20.7,23.3,1.9,rrr,2.3,2.7,7.5,0.0239,Southern_California.20200219.stacov.point-2020/06/18-22:29:19 
20200220,2020.1381,-22.6,23.9,-3.6,rrr,2.3,2.7,7.7,0.012,Southern_California.20200220.stacov.point-2020/06/19-22:28:58 
20200221,2020.1408,-21.3,23.2,3.8,rrr,2.3,2.7,7.7,-0.0002,Southern_California.20200221.stacov.point-2020/06/20-22:29:20 
20200222,2020.1435,-24.2,22.1,-0.9,rrr,2.3,2.6,8.0,-0.0344,Southern_California.20200222.stacov.point-2020/06/21-22:28:29 
20200223,2020.1463,-22.8,22.2,4.7,rrr,2.3,2.7,7.7,-0.0085,Southern_California.20200223.stacov.point-2020/06/22-22:27:51 
20200224,2020.149,-20.6,21.7,-4.7,rrr,2.2,2.6,7.4,0.0379,Southern_California.20200224.stacov.point-2020/06/23-22:27:40 
20200225,2020.1518,-22.8,22.3,-4.2,rrr,2.2,2.7,7.4,0.0363,Southern_California.20200225.stacov.point-2020/06/24-22:28:45 
20200226,2020.1545,-22.1,20.8,-0.5,rrr,2.2,2.7,7.4,0.0324,Southern_California.20200226.stacov.point-2020/06/25-22:29:25 
20200227,2020.1572,-22.9,21.7,-1.8,rrr,2.2,2.7,7.4,0.038,Southern_California.20200227.stacov.point-2020/06/26-22:27:38 
20200228,2020.16,-22.1,19.9,-1.7,rrr,2.2,2.5,7.3,-0.0171,Southern_California.20200228.stacov.point-2020/06/27-22:30:13 
20200229,2020.1627,-21.5,19.2,-3.7,rrr,2.2,2.7,7.4,0.0358,Southern_California.20200229.stacov.point-2020/06/28-22:29:53 
20200301,2020.1655,-22.2,19.7,-0.7,rrr,2.2,2.7,7.4,0.0421,Southern_California.20200301.stacov.point-2020/06/29-22:30:53 
20200302,2020.1682,-23.9,20.3,-0.4,rrr,2.3,2.7,7.6,0.0084,Southern_California.20200302.stacov.point-2020/06/30-22:30:11 
20200303,2020.1709,-23.7,20.2,2.7,rrr,2.2,2.7,7.4,0.0386,Southern_California.20200303.stacov.point-2020/07/01-22:28:09 
20200304,2020.1737,-21.8,20.4,-0.8,rrr,2.2,2.5,7.3,-0.0101,Southern_California.20200304.stacov.point-2020/07/02-22:31:30 
20200305,2020.1764,-21.1,20.9,-2.2,rrr,2.2,2.7,7.4,0.0412,Southern_California.20200305.stacov.point-2020/07/03-22:30:00 
20200306,2020.1791,-20.8,22.0,-4.5,rrr,2.2,2.7,7.4,0.0336,Southern_California.20200306.stacov.point-2020/07/04-22:29:09 
20200307,2020.1819,-20.1,21.7,0.5,rrr,2.2,2.5,7.3,-0.0158,Southern_California.20200307.stacov.point-2020/07/05-22:30:32 
20200308,2020.1845,-21.4,20.4,5.0,rrr,2.3,2.7,7.7,-0.0046,Southern_California.20200308.stacov.point-2020/07/06-22:31:29 
20200309,2020.1872,-21.4,21.5,-2.7,rrr,2.3,2.7,7.7,-0.0024,Southern_California.20200309.stacov.point-2020/07/07-22:28:18 
20200310,2020.19,-22.9,21.2,-0.3,rrr,2.4,2.8,8.2,-0.0106,Southern_California.20200310.stacov.point-2020/07/08-22:31:45 
20200311,2020.1927,-21.2,20.6,-2.0,rrr,2.3,2.7,7.7,-0.0157,Southern_California.20200311.stacov.point-2020/07/09-22:32:07 
20200312,2020.1955,-21.1,18.8,0.4,rrr,2.3,2.7,7.7,-0.0143,Southern_California.20200312.stacov.point-2020/07/10-22:31:20 
20200313,2020.1982,-21.7,20.7,-1.7,rrr,2.3,2.7,7.7,-0.0155,Southern_California.20200313.stacov.point-2020/07/11-22:31:09 
20200314,2020.2009,-21.0,20.6,-1.7,rrr,2.3,2.7,7.7,-0.0217,Southern_California.20200314.stacov.point-2020/07/12-22:29:12 
20200315,2020.2037,-20.1,20.1,-1.0,rrr,2.3,2.7,7.7,-0.0114,Southern_California.20200315.stacov.point-2020/07/13-22:27:34 
20200316,2020.2064,-21.0,20.0,2.7,rrr,2.3,2.7,7.7,-0.0168,Southern_California.20200316.stacov.point-2020/07/14-22:28:16 
20200317,2020.2091,-21.5,19.6,-1.3,rrr,2.3,2.7,7.7,-0.0213,Southern_California.20200317.stacov.point-2020/07/15-22:29:33 
20200318,2020.2119,-20.8,20.9,2.4,rrr,2.3,2.7,7.7,-0.0154,Southern_California.20200318.stacov.point-2020/07/16-22:30:47 
20200319,2020.2146,-20.6,21.7,2.6,rrr,2.7,2.8,8.8,-0.0866,Southern_California.20200319.stacov.point-2020/07/17-22:27:00 
20200320,2020.2174,-21.5,19.8,5.4,rrr,2.4,2.8,8.1,-0.0498,Southern_California.20200320.stacov.point-2020/07/18-22:29:00 
20200321,2020.2201,-21.4,20.2,-4.3,rrr,2.3,2.7,7.7,-0.0122,Southern_California.20200321.stacov.point-2020/07/19-22:27:24 
20200322,2020.2228,-20.4,22.1,-2.4,rrr,2.3,2.7,7.7,-0.0259,Southern_California.20200322.stacov.point-2020/07/20-22:31:15 
20200323,2020.2256,-21.0,20.2,4.8,rrr,2.3,2.7,7.7,-0.0173,Southern_California.20200323.stacov.point-2020/07/21-22:28:22 
20200324,2020.2283,-20.9,18.7,-3.3,rrr,2.3,2.7,7.7,-0.0096,Southern_California.20200324.stacov.point-2020/07/22-22:26:50 
20200325,2020.231,-20.6,18.2,-6.0,rrr,2.3,2.7,7.7,-0.0197,Southern_California.20200325.stacov.point-2020/07/23-22:29:11 
20200326,2020.2338,-21.5,18.1,-2.5,rrr,2.3,2.7,7.7,-0.0236,Southern_California.20200326.stacov.point-2020/07/24-22:27:28 
20200327,2020.2365,-21.8,17.0,5.5,rrr,2.3,2.7,7.7,-0.0195,Southern_California.20200327.stacov.point-2020/07/25-22:29:49 
20200328,2020.2393,-19.4,18.7,-5.0,rrr,2.4,2.7,7.7,-0.0202,Southern_California.20200328.stacov.point-2020/07/26-22:27:44 
20200329,2020.242,-20.0,18.8,-4.9,rrr,2.3,2.7,7.6,-0.0143,Southern_California.20200329.stacov.point-2020/07/27-22:26:49 
20200330,2020.2447,-20.6,17.9,-2.7,rrr,2.3,2.7,7.7,-0.0173,Southern_California.20200330.stacov.point-2020/07/28-22:26:40 
20200331,2020.2475,-20.6,18.1,-5.0,rrr,2.3,2.7,7.7,-0.0233,Southern_California.20200331.stacov.point-2020/07/29-22:27:14 
20200401,2020.2502,-20.6,17.0,-3.3,rrr,2.3,2.6,7.6,-0.0625,Southern_California.20200401.stacov.point-2020/07/30-22:28:23 
20200402,2020.253,-20.8,18.4,0.9,rrr,2.3,2.7,7.7,-0.0255,Southern_California.20200402.stacov.point-2020/07/31-22:27:24 
20200403,2020.2557,-18.7,18.2,-0.6,rrr,2.3,2.7,7.7,-0.0204,Southern_California.20200403.stacov.point-2020/08/01-22:26:41 
20200404,2020.2584,-20.0,17.7,-2.0,rrr,2.3,2.7,7.7,-0.0174,Southern_California.20200404.stacov.point-2020/08/02-22:27:06 
20200405,2020.2612,-20.6,17.1,2.5,rrr,2.4,2.7,7.7,-0.0192,Southern_California.20200405.stacov.point-2020/08/03-22:29:32 
20200406,2020.2639,-20.4,17.2,6.7,rrr,2.3,2.7,7.7,-0.0209,Southern_California.20200406.stacov.point-2020/08/04-22:26:20 
20200407,2020.2666,-20.4,17.3,1.9,rrr,2.3,2.7,8.0,-0.0624,Southern_California.20200407.stacov.point-2020/08/05-22:26:52 
20200408,2020.2694,-19.5,17.4,-2.6,rrr,2.3,2.7,7.7,-0.0177,Southern_California.20200408.stacov.point-2020/08/06-22:30:14 
20200409,2020.2721,-20.2,17.1,-2.4,rrr,2.3,2.7,7.7,-0.0181,Southern_California.20200409.stacov.point-2020/08/07-22:28:29 
20200410,2020.2749,-19.6,17.5,-3.6,rrr,2.3,2.7,7.7,-0.0267,Southern_California.20200410.stacov.point-2020/08/08-22:28:39 
20200411,2020.2776,-20.4,16.2,-3.2,rrr,2.3,2.7,7.7,-0.0198,Southern_California.20200411.stacov.point-2020/08/09-22:29:34 
20200412,2020.2803,-19.9,16.1,-0.1,rrr,2.4,2.7,7.7,-0.0245,Southern_California.20200412.stacov.point-2020/08/10-22:29:43 
20200413,2020.2831,-19.4,17.6,-2.6,rrr,2.4,2.7,7.9,-0.0582,Southern_California.20200413.stacov.point-2020/08/11-22:28:30 
20200414,2020.2858,-19.1,18.4,-3.8,rrr,2.3,2.7,7.7,-0.0224,Southern_California.20200414.stacov.point-2020/08/12-22:28:09 
20200415,2020.2885,-19.3,17.5,-2.6,rrr,2.3,2.7,7.7,-0.0165,Southern_California.20200415.stacov.point-2020/08/13-22:29:58 
20200416,2020.2913,-17.7,16.9,-1.9,rrr,2.3,2.7,7.7,-0.0279,Southern_California.20200416.stacov.point-2020/08/14-22:27:40 
20200417,2020.294,-18.4,16.4,-4.5,rrr,2.3,2.7,7.7,-0.0188,Southern_California.20200417.stacov.point-2020/08/15-22:27:50 
20200418,2020.2968,-21.0,17.3,3.4,rrr,2.3,2.7,7.7,-0.012,Southern_California.20200418.stacov.point-2020/08/16-22:27:45 
20200419,2020.2995,-17.7,17.7,4.4,rrr,2.4,2.7,7.7,-0.014,Southern_California.20200419.stacov.point-2020/08/17-22:28:31 
20200420,2020.3022,-19.1,17.7,-3.0,rrr,2.3,2.7,7.7,-0.0247,Southern_California.20200420.stacov.point-2020/08/18-22:27:22 
20200421,2020.305,-17.1,17.1,1.6,rrr,2.3,2.7,7.7,-0.018,Southern_California.20200421.stacov.point-2020/08/19-22:28:26 
20200422,2020.3077,-17.6,17.5,-1.2,rrr,2.3,2.7,7.7,-0.0204,Southern_California.20200422.stacov.point-2020/08/20-22:26:53 
20200423,2020.3104,-19.0,16.5,-4.9,rrr,2.4,2.7,7.9,-0.0464,Southern_California.20200423.stacov.point-2020/06/21-22:39:02 
20200424,2020.3132,-18.8,16.7,-1.1,rrr,2.4,2.7,7.7,-0.0174,Southern_California.20200424.stacov.point-2020/06/22-22:37:53 
20200425,2020.3159,-19.3,15.6,2.1,rrr,2.3,2.7,7.7,-0.0211,Southern_California.20200425.stacov.point-2020/06/23-22:37:38 
20200426,2020.3187,-17.2,16.3,-1.0,rrr,2.3,2.7,7.6,-0.0174,Southern_California.20200426.stacov.point-2020/08/24-22:26:26 
20200427,2020.3214,-18.8,17.0,-0.0,rrr,2.3,2.7,7.7,-0.0221,Southern_California.20200427.stacov.point-2020/08/25-22:27:15 
20200428,2020.3241,-19.8,14.7,-2.3,rrr,2.3,2.7,7.7,-0.0184,Southern_California.20200428.stacov.point-2020/08/26-22:28:24 
20200429,2020.3269,-18.3,16.9,-2.8,rrr,2.3,2.7,7.7,-0.0153,Southern_California.20200429.stacov.point-2020/08/27-22:28:59 
20200430,2020.3296,-19.4,16.1,1.2,rrr,2.3,2.7,7.7,-0.0133,Southern_California.20200430.stacov.point-2020/08/28-22:28:52 
20200501,2020.3324,-19.0,15.8,1.1,rrr,2.4,2.7,7.7,-0.0141,Southern_California.20200501.stacov.point-2020/08/29-22:28:08 
20200502,2020.3351,-17.6,16.7,0.3,rrr,2.4,2.7,7.7,-0.0198,Southern_California.20200502.stacov.point-2020/08/30-22:28:45 
20200503,2020.3378,-17.9,16.3,1.7,rrr,2.3,2.7,7.7,-0.0288,Southern_California.20200503.stacov.point-2020/08/31-22:29:29 
20200504,2020.3406,-16.9,15.6,-1.7,rrr,2.4,2.7,7.7,0.0018,Southern_California.20200504.stacov.point-2020/09/01-22:28:19 
20200505,2020.3433,-16.9,17.8,-2.3,rrr,2.4,2.7,7.7,-0.004,Southern_California.20200505.stacov.point-2020/09/02-22:27:47 
20200506,2020.346,-16.6,16.4,-2.2,rrr,2.3,2.7,7.7,-0.0141,Southern_California.20200506.stacov.point-2020/09/03-22:30:04 
20200507,2020.3488,-15.9,15.3,3.3,rrr,2.4,2.7,7.7,-0.0263,Southern_California.20200507.stacov.point-2020/09/04-22:26:58 
20200508,2020.3515,-17.0,15.6,0.6,rrr,2.3,2.8,7.7,-0.0581,Southern_California.20200508.stacov.point-2020/09/05-22:26:42 
20200509,2020.3543,-16.5,15.9,-8.6,rrr,2.3,2.7,7.7,-0.0433,Southern_California.20200509.stacov.point-2020/09/06-22:27:02 
20200510,2020.357,-17.2,17.0,-6.6,rrr,2.3,2.8,7.9,-0.0826,Southern_California.20200510.stacov.point-2020/09/07-22:26:57 
20200511,2020.3597,-17.1,15.2,1.1,rrr,2.3,2.7,7.7,-0.0208,Southern_California.20200511.stacov.point-2020/09/08-22:27:52 
20200512,2020.3625,-16.7,16.5,1.7,rrr,2.3,2.7,7.7,-0.0219,Southern_California.20200512.stacov.point-2020/09/09-22:26:57 
20200513,2020.3652,-17.1,16.1,-1.9,rrr,2.3,2.7,7.7,-0.0252,Southern_California.20200513.stacov.point-2020/09/10-22:29:17 
20200514,2020.3679,-17.0,15.5,-1.2,rrr,2.3,2.7,7.7,-0.0254,Southern_California.20200514.stacov.point-2020/09/11-22:27:00 
20200515,2020.3707,-16.5,15.7,-3.0,rrr,2.4,2.7,7.7,-0.0101,Southern_California.20200515.stacov.point-2020/09/12-22:27:11 
20200516,2020.3734,-17.1,15.6,-1.1,rrr,2.3,2.7,7.7,-0.011,Southern_California.20200516.stacov.point-2020/09/13-22:28:48 
20200517,2020.3762,-17.0,16.1,1.1,rrr,2.3,2.7,7.7,-0.0229,Southern_California.20200517.stacov.point-2020/09/14-22:28:38 
20200518,2020.3789,-16.6,16.0,0.5,rrr,2.3,2.7,7.7,-0.0232,Southern_California.20200518.stacov.point-2020/09/15-22:27:50 
20200519,2020.3816,-16.5,14.9,2.8,rrr,2.3,2.7,7.7,-0.0174,Southern_California.20200519.stacov.point-2020/09/16-22:29:29 
20200520,2020.3844,-16.5,14.9,-0.3,rrr,2.3,2.7,7.7,-0.0188,Southern_California.20200520.stacov.point-2020/09/17-22:30:13 
20200521,2020.3871,-18.6,16.1,-1.2,rrr,2.3,2.7,7.7,-0.012,Southern_California.20200521.stacov.point-2020/09/18-22:28:29 
20200522,2020.3898,-18.1,13.5,-0.0,rrr,2.4,2.7,8.0,-0.0435,Southern_California.20200522.stacov.point-2020/09/19-22:28:55 
20200523,2020.3926,-17.0,14.7,4.3,rrr,2.3,2.7,7.7,-0.0256,Southern_California.20200523.stacov.point-2020/09/20-22:29:12 
20200524,2020.3953,-17.2,15.8,-3.1,rrr,2.3,2.7,7.7,-0.0137,Southern_California.20200524.stacov.point-2020/09/21-22:28:46 
20200525,2020.3981,-15.4,15.9,-2.7,rrr,2.3,2.7,7.7,-0.028,Southern_California.20200525.stacov.point-2020/09/22-22:27:51 
20200526,2020.4008,-15.0,14.2,0.6,rrr,2.3,2.7,7.7,-0.0151,Southern_California.20200526.stacov.point-2020/09/23-22:30:03 
20200527,2020.4035,-14.6,15.0,3.0,rrr,2.3,2.7,7.7,-0.015,Southern_California.20200527.stacov.point-2020/09/24-22:28:59 
20200528,2020.4063,-15.2,14.5,1.1,rrr,2.3,2.7,7.7,-0.0278,Southern_California.20200528.stacov.point-2020/09/25-22:28:04 
20200529,2020.409,-15.4,15.9,1.0,rrr,2.3,2.6,7.7,-0.0177,Southern_California.20200529.stacov.point-2020/09/26-22:27:52 
20200530,2020.4117,-14.7,14.3,-1.1,rrr,2.3,2.8,8.1,0.0036,Southern_California.20200530.stacov.point-2020/09/27-22:27:58 
